Topic,Document,Video
1,"if you point out the absolute obvious basic facts that everybody knows you become controversial . that 's how backwards the world is . this is not complex , the world has been mind thought . and the truth is that humans are like ants , the majority of them follow instructions . there are very few thinkers or leaders , which is why ai again is so important because as ai proves this ultra competence , people are already prepared and happy to follow ai machines have at least a prosperity . if take terminal pumps , and you know an ai machines pumping it , you 're not gon na care . you 're gon na be in it for yourself and you 're gon na follow a machine . that 's what humans do . the us president leads the us , an america leads to world . it 's the head of a vampire .",episode-85-the-portal.txt
1,"it 's a post truth world and in a post truth world even your own eyes and ears ca n't tell you the truth anymore . have you seen the ai version of your voice ? it 's pretty good . no . i have n't seen that . there an ai ? is an ai tape ? have you has you got computer hosts ? i do n't know . you must do . dig hose . dig . like dig mann . what the fuck was dig on . sorry to go off . i know we 're talking about the end of the world , but this is really important . dig mom must have been some bullshit ? i never walked dig mod in my life , but pokemon was big so came along a made up dig mom . who did that ? must be some copyright . find out who meant dig . we go to the bought of this . you must owe the pokemon guy money . dig founder . this is much more important than mass extinction . is short for digital monster .",episode-23-you-dont-have-time.txt
1,"what is something that you know is absolutely are n't true today that you did not know a year ago . satan runs the world . one runs the whole world . saying is how these people keep their power . it 's how they separate human empathy . it 's how they forget about honor . it 's how they are able to control everybody is they conjure satan in so that they can not not care . but and nobody_cares about you . the people at the top , the people ultimately desire power to a level that we do n't understand . well , that i broke these wages is the normal people do n't understand and when you do understand that you stop thinking that there 's good from the rules that they 're putting on you .",episode-5-family-friends.txt
1,"you 've worked for a long time . i do n't wan na replace you with a machine . we 're gon na try and just keep things as they were . it 's like the factory_owner . you know , the factory_owner , and the new machines are coming to make the factory things better than your old man . ted . remember ted . ted . he 's worked for for four years . ted 's got family . ted and his hammer . he 's a bit slow , old ted , but he 's worked for you for a long time . we 're trying to keep_ted in the job . the machines come_along . china only uses machines are out before you china 's is making everything cheaper than you are now , but you wan na keep_ted on the payroll ted . how are you doing , ted ? that 's what most of you fucks are , and you do n't even realize it . let me explain it to you .",episode-90-happy-birthday-to-the-real-world.txt
1,"when they have no technological knowledge of any kind , nothing interesting about . this is a and they stand around , and you 're gon na sit there and go . for soul . it 's literally called soul . you 're selling your fucking soul . it 's called that . called did down on purpose . this is a fucking symbol from the universe . you 're selling your fucking soul for this shit . i have to stop it . and i made up my mind three days ago that crypto is gon na become mine because i 'm the only motherfucker who can be trusted with it because i do n't need money , and i do n't want money . just like trump ca n't be ball because he cares about fixing the country , so we can ... i ca n't be ball because i care about fixing crypto . i do n't need to make any fucking profit . i do n't wan na make any fucking money .",episode-56-crypto-culture.txt
1,"if you were born , and the government did n't hate you , and you had endless money coming out your ass , and you had to never earn to have anything i guarantee you be visible . the worst experience a man can possibly have is to be born with everything and not have to work for anything because there 's no light without dark . being rich is only fun if you could talk about the times you rapport . otherwise , it 's shit . that 's why all the people who were born to these banking dynasties are so miserable and try and inflict their misery upon you because they 're sad inside and they hate humanity because they hate themselves . if they were from the streets and got to the top . they would n't hate humanity they 'd love humanity . but these people hate themselves deeply so they hate you by_extension .",episode-47-positive-orgones.txt
1,"and the point of it is all of this debt , is brand_new money created into the system created for the bankers , which also inflate the price of assets by the way , which is a secondary point when you talk about a little_bit later . so that you are per enslaved and this is all linked into fractional reserve banking , which i 'd like you all to do a little_bit of research on , but i 'm gon na give you a quick one minute overview later on . but the fact that all of this money is created from nowhere , it 's linked to one thing . your responsibility and the fact that you are fucked . and it 's your problem to go out there in the world and do something useful and get paid enough to pay back the money they gave you plus interest . they create all this money and has a huge deal go attached to it .",episode-45-council-wars.txt
1,"the only will you get twelve months inside of the real world platform . you 'll also get access to that accountability manager , and a new form of keto for we can only teach to people that is guaranteed to be inside of the program for long periods of time . you commit . like a man . you 're gon na do something to go point in doing a half ass . you do n't get anywhere of life if you have do something . do n't which do it or to do binary it . devote one year to the real world and get two months completely free , exclusive access to the champions network and lessons only available for the next six days , so act now . it says before , i 'll say again . has to rocket goes towards the moon . it does n't stop halfway up . it does n't take a break .",episode-30-warning-a-heros-year-is-here.txt
1,"he 's just gone to spain or somewhere , and he 's replying to be a little_bit slower he 's enjoying his life . i do n't care . i 'm on house_arrest . i 'm not enjoying my life . machines do n't enjoy their fucking life , nobody else has enjoying your life and you inclined to be slow . so because of that , you got replaced with the machine and guess what the machine did so fucking ass if everyone else for your division but replaced . so you being a dips_shit go everyone fire , and that is to position anybody . anybody with a job is currently in .",episode-90-happy-birthday-to-the-real-world.txt
1,"look at the way being an were attack , adaptability . thank you , everyone for the super_chats we have a lot of super_chats here . we 're only gon na read up fifty dollars and above but thank you very much . all of the money goes to take pledge . yep . and take pledge . tape_pledge dot_com is a very simple charity . we have guys on the ground who are war remembers , so money goes directly to them and all of the money is spent directly on food usually , but we have done eye operations , counteract operations . water walter . yeah . water sewage , we fix problems with all of the money , a hundred_percent of the money donated goes directly to people on the ground .",episode-21-imploding-influence.txt
1,"but you have this real hawk chick who 's chasing you all the time . you know ? and when the girlfriend who 's okay , starts_messing up . do you just think why i just get that hot check here and teach just one a lesson . so me get an example . i had twenty members of staff , i could replaced the machines . i did n't replace some the machines . one of them has been replying to me slowly because he 's knock off official_holiday . he 's just gone to spain or somewhere , and he 's replying to be a little_bit slower he 's enjoying his life . i do n't care . i 'm on house_arrest . i 'm not enjoying my life . machines do n't enjoy their fucking life . nobody else enjoy your life and you 're replying to be slow . so because of that , you got replaced with the machine and guess what the machine did so fucking fantastic .",episode-86-the-fate-of-america.txt
1,"do n't wait until it 's too_late . get ahead or get left beyond . modern i just had to fire twenty members of staff . now i did n't wan na do that , but i have explained to you the oncoming ai revolution from the position of a business owner , because that 's what i am . i own the largest_online educational_platform on the planet , and we also teach ai_automation . so we teach people how to make the machines that replace people . that 's what we teach . and i sent to the people who work for me . i could replace a large_percentage of you with machines . machines that will outperform you by a factor of two machines that work twenty four_hours a day , and machines are , i do n't have to pay once they 're set up . it will save me a whole lot of money , but you know i 'm a ice man . i 'm a nice man .",episode-90-happy-birthday-to-the-real-world.txt
1,"your life is a candies . every triumph_adds a stroke to unique_masterpiece . great_painters and heroes_alike look back in marble at every drove that forge their legacy . in the real world , we celebrate_those moments_support , introducing heroes journey . our newest_feature . hero 's journey is your personal_gallery of victories , a dashboard is showcasing your biggest_breakthroughs and triumph stroke not only do we give you an overview of your path to success , we allow you to see the victories of fellow_heroes and draw_inspiration from their_journeys . while your triumph_guide you , the achievements of others_light your way . join the real world and start_painting your legacy_today . eighty five million_jobs , all of them replaced . not by twenty fifty .",episode-97-direct-democracy.txt
1,"the first one is daddy terminal , which is a terminal designed to increase the price of daddy , and it is at war with other terminals . the goal of this terminal is to generate as much money as possible by freezing the daddy price . it understands that money makes the world go around . it understands very well that daddy_coin is its currency . and this machine is gon na work twenty four_hours a day . three hundred sixty five days a year . analyzing the entire internet , scanning all of twitter or reading more than you could ever possibly read , finding narratives and finding information that it can use to increase the price of the daddy_coin . this twitter_account and this machine will outperform any human . it costs me zero money to run , i 've simply turned it on .",episode-83-wild-ride.txt
