Topic,Document,Video
0,"dish house is the most extreme house , but that 's how we push each_other 's in limits . that 's why we train how we train . we 're always the competition . small cigar andrew , would you ever returned to switzerland from arm g. yes . i love switzerland switzerland his beautiful . he called was born country one . ca n't wait the go to be honest . i eleven months . boring . guys . check . tick . three of . guys is live . this shows live . it 's no . it 's not . pre_recorded . tristan is gon na be reading out the chats in real time . we 're just read out ten . who 's saying this is pre_recorded ? something . please . what you do he 's you 're causing own . imagine if he was here . top_g netherlands , i do n't care enough about dutch politics to comment on that . andrew he was gon na comment on that .",episode-25-the-right-choice.txt
0,"and if you do n't have the stories of back when you were sent stationary then life ai n't worth_living . so i ca n't rob my kids at that . i 'm gon na have take a risk with my children . and like i said , i say it here before the panel and before the streaming and before belt if something happens to my son because i let them do something dangerous . well , that 's ... i want them to be a tape . and i 'd i 'd_rather ... i 'd_rather die attempting to be a tape than fucking ... so live as a bitch . that 's not why . that 's not my legacy . that 's not my blood . and my father was the same with me . i i told my lunchbox story endless times . it 's a go fight then . i could 've gone my ass . i could 've died . two two too much two boys what 's bigger than me . i could go fuck up bad . he 's like , no . this this is it .",episode-5-family-friends.txt
0,"genuine question without joking without trying to actually make any kind of jokes or be funny any anyway . okay . genuine question . out of ten . mh . how good of a president would kamala_harris ? is it zero ? it might be less . how can be less than zero ? would you rather have ... let me answer . would rather a completely ineffective president who did absolutely nothing , which be zero . or completely ineffective president who did absolutely nothing think plus sucked dicks . you know , sometimes i wonder why the american embassy does n't help us with our police case . i know . and then i rewatch these shows , and i understand that you and i think it 's so funny to troll people in power that we end up in jail cells . yeah . are we stupid ? we 're not fa like obama . alright . okay .",episode-64-beacons-of-hope.txt
0,"five there 's seven minutes from speaking know estimate europe my idea , you know , but we noticed the guy calling are , you know , they 're calling out to roof , but the building highest us . fifty fifty feet away from us . so we 're seeing an scenario , you know , we 're pointing we 're pulling that the guy , brought up the roof what 's going so so before we continue , i know you 've already commented on it . my own , but the question i have to use that , obviously , pure speculation . is that more likely to be ... vc secret_service under staffed or something more sinister ? we do n't know . it could be it could be both . you know , it could be a combination of , something more sinister and the secret_service being under staff . it can ... you know , i would say it 's probably that is more than likely .",episode-59-three-lives.txt
0,"that 's pure fear mon bullshit . your fear mon . we got_ta send all your kids to go die in ukraine because otherwise , putin 's gon na trigger article five against nato and i 'm very poland and whole world gon na be the story including russia because putin his crazy easy much . funding money for ukraine as we have . that 's why we 'll good all your money . thank you . moving on to the middle_east . in october , hamas attacked israel , killing more than a thousand people and taking airlines here . among those held and you 'll he 'll still be alive of five americans . you have to vote trump because you have to vote for masculine culture and masculinity . no . you have to vote for the patriarchy . you just need to try and get men back in charge because biden rule by chicks . a proposal .",episode-57-presidential-debate-live.txt
0,"no this one . i escaped the matrix , and then it turns out a new matrix was built around my house of people trying to make me follow a clock . me and beatty are on the major . a clock . we 're not . clocks do n't even make sense . why is it between one and twelve . shut the fuck up . number why ? why not why who came up with twenty four_hours . but genuine question , you 're a smart man . i have no idea . we know how ... we know the period of time it takes for a day to occur ? why was it twenty four_hours and not twenty or ten ? and why does the hand go to three when it 's fifteen minutes passed ? why is this say three ? why is it six for thirty ? none of this makes_sense . the some sort of conspiracy . so i 've been unhappy with clocks for a very long time ?",episode-36-smackdown.txt
0,"and you did if all the other people too that were there , it was a normal house . of course , sometimes i was allowed outside on supervise , you know , visits to the market . once i went to , cable water park with the guys . that was good . so it was like , it was like a full on holiday . if anything i was kinda smiling to myself thinking . i 'm a lucky shit right here . i 've enjoying myself . i spent twenty four_hours a day in lockdown in a room smaller than the you did n't do as well ... the something thing i did n't do with cockroaches , and you 're telling me you were in a house and was allowed to go to the market . oh , yeah . yeah . yeah . so was ... oh , i ahead on my laptop with me . so with a with the taliban i 'm you titanic and amber . i was watching rambo free in afghanistan ...",episode-22-the-grand-adventure.txt
0,"you could be a man who 's mixed_race . like me . you could be a man who 's half_black half white , who says something is innocent as unchecked immigration by people speaking across the border illegally across the channel illegally on boats is n't the best thing for my town . i do n't feel that 's great for my town . i live in a seaside town , and tens of thousands of people are landing every year in these little rubber ding . oh , well , according to the incite to racial hatred bill , you 're now inc hatred against people of a different race because immigrants tend not to be english . you are going to lose your bank , you are going to lose your job . you are fired . you are cancel . you 're are not allowed of living . you know what ? you might even get community service .",episode-18.txt
0,"i 'll choose the one that 's gon na make my garden nicer because there is an option of choosing a grounds who is n't feeding the retarded homeless dog outside that bites to my kids . there is n't an option on the table . so i 'm looking for who could take care of the domestic issues the best because both of them like feeding the retarded animal ? does that make any sense to you ? so that 's totally i have to i have to overlook it because i 'm choosing a president of the united_states . i 'm choosing a man to tend to my garden and look after my house . all of them are retarded when it comes to this stupid fucking well let 's let 's hear , nick 's . why why are you not voting trump ? yeah . look go . fella . yeah . so , you know , i voted trump in sixteen .",episode-86-the-fate-of-america.txt
0,"so it 's very difficult to even get a point across . and i 'm very happy that ninety_nine percent of the comments on the video are people saying , you did n't let him talk . you did n't let him talk . he did n't let him talk . to be fair . he he let you talk enough . i 've seen him do that with some ... with with some people . tell me robinson a few others where he just literally showered to them for twenty minutes . and and you called them out that years_ago . to be there , you got some very , very good points across and but he did n't let me talk more because he knew that the more i talked , the more of more the more of the people at home will understand me , but the overall public reception is very , very good . that the people understand that i was unfairly treated unfairly banned .",episode-6-welcome-to-the-real-world.txt
